SEXO;IDADE;RENDA;CODCBO;PROFISSAO;ESTADO_CIVIL
F;37;8716,83;252210;CONTADOR;SOLTEIRO(A)
M;42;1313,52;992120;LAVADOR DE PECAS;SOLTEIRO(A)
M;55;2970,00;521105;VENDEDOR EM COMERCIO ATACADIST;SEPARADO(A) JUDICIALMENTE
M;54;3365,85;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;67;2795,17;521105;VENDEDOR EM COMERCIO ATACADIST;OUTROS
M;40;2330,82;212405;ANALISTA DE SISTEMA;SOLTEIRO(A)
F;38;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;54;1869,10;517410;PORTEIRO DE EDIFICIOS;SEPARADO(A) JUDICIALMENTE
M;51;3972,86;313105;ELETROTECNICO;CASADO(A)
F;30;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;35;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;42;2280,39;313105;ELETROTECNICO;CASADO(A)
M;41;4881,52;313105;ELETROTECNICO;CASADO(A)
M;41;17500,00;142305;GERENTE COMERCIAL;CASADO(A)
M;34;1400,00;623110;TRABALHADOR DA PECUARIA (BOVIN;SOLTEIRO(A)
F;37;3520,60;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;43;3368,82;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;31;2719,38;253115;AGENTE PUBLICITARIO;SOLTEIRO(A)
M;65;1176,07;514310;AUXILIAR DE MANUTENCAO PREDIAL;CASADO(A)
M;40;9402,95;520110;SUPERVISOR DE VENDAS COMERCIAL;SOLTEIRO(A)
M;49;4022,92;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;37;2145,42;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;36;3426,79;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;38;6825,00;520110;SUPERVISOR DE VENDAS COMERCIAL;CASADO(A)
M;30;1688,75;414215;CONFERENTE DE CARGA E DESCARGA;SOLTEIRO(A)
F;30;1884,05;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;34;1664,25;411010;ASSISTENTE ADMINISTRATIVO;OUTROS
M;37;2268,60;521105;VENDEDOR EM COMERCIO ATACADIST;SEPARADO(A) JUDICIALMENTE
M;49;19000,00;142605;GERENTE DE PESQUISA E DESENVOL;CASADO(A)
M;44;2813,00;991305;FUNILEIRO DE VEICULOS (REPARAC;OUTROS
M;47;3182,49;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;41;3387,18;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;42;2599,99;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;54;3306,16;782515;MOTORISTA OPER DE GUINCHO;SOLTEIRO(A)
M;24;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;35;3060,84;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;29;5378,84;214405;ENGENHEIRO MECANICO;SOLTEIRO(A)
F;29;1711,48;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;23;604,83;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;35;2273,05;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;44;1354,61;992120;LAVADOR DE PECAS;SOLTEIRO(A)
M;41;3387,16;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;23;629,38;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;67;3702,21;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;33;1463,43;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;33;3431,71;913120;MECÂNICO DE MANUTENÇÃO DE MÁQUIN;SOLTEIRO(A)
M;33;3774,08;910210;SUPERVISOR DA MANUT E REPAR DE;SEPARADO(A) JUDICIALMENTE
M;48;7761,02;410205;SUPERVISOR DE ALMOXARIFADO;CASADO(A)
M;31;1649,90;414105;ALMOXARIFE;SOLTEIRO(A)
M;41;4185,12;313105;ELETROTECNICO;SOLTEIRO(A)
M;28;2139,94;414105;ALMOXARIFE;CASADO(A)
F;44;2099,22;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;53;3749,95;252305;SECRETARIA(O) EXECUTIVA(O);CASADO(A)
M;37;2734,81;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;24;1800,69;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;34;4063,60;252725;ANALISTA DE GESTÃO DE ESTOQUE;CASADO(A)
M;32;8716,83;910205;SUPERVISOR DA MANUTENÇÃO E REPARAÇ;SOLTEIRO(A)
M;34;5092,18;313105;ELETROTECNICO;CASADO(A)
F;22;634,08;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;31;2139,93;414105;ALMOXARIFE;SOLTEIRO(A)
M;40;2501,28;414105;ALMOXARIFE;SOLTEIRO(A)
F;53;3060,83;411010;ASSISTENTE ADMINISTRATIVO;OUTROS
M;37;1542,24;414105;ALMOXARIFE;SOLTEIRO(A)
F;32;3881,96;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;43;2872,19;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;32;2824,42;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
M;45;3147,47;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;36;3369,83;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;21;658,72;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;55;1750,00;621005;TRABALHADOR AGROPECUARIO EM GE;CASADO(A)
M;35;3449,49;313105;ELETROTECNICO;SOLTEIRO(A)
M;42;6334,78;354205;COMPRADOR;CASADO(A)
M;31;1525,14;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;41;4022,91;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;35;2372,40;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
F;31;3326,28;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;30;2681,32;318705;DESENHISTA PROJETISTA DE ELETR;SOLTEIRO(A)
M;37;6840,49;262410;DESENHISTA INDUSTRIAL GRÁFICO (DESIGNER ;SOLTEIRO(A)
F;37;3754,73;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;43;1400,00;621005;TRABALHADOR AGROPECUARIO EM GE;CASADO(A)
F;40;2421,20;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;20;714,02;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;29;1979,52;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
M;30;4435,57;300305;TÉCNICO EM ELETROMECÂNICA;SOLTEIRO(A)
M;21;704,72;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;35;3520,60;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;51;11100,84;910205;SUPERVISOR DA MANUTENÇÃO E REPARAÇ;CASADO(A)
F;30;2521,16;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;27;2034,50;414215;CONFERENTE DE CARGA E DESCARGA;SOLTEIRO(A)
M;27;2139,94;414105;ALMOXARIFE;SOLTEIRO(A)
M;39;1960,00;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
F;23;1674,47;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;31;1859,45;914425;MECANICO DE VEICULOS AUTOMOTOR;SEPARADO(A) JUDICIALMENTE
M;42;9687,60;520110;SUPERVISOR DE VENDAS COMERCIAL;CASADO(A)
M;34;1362,29;414105;ALMOXARIFE;SOLTEIRO(A)
M;42;2224,25;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SEPARADO(A) JUDICIALMENTE
M;19;683,40;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;34;5378,84;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;34;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;21;2025,56;413110;AUXILIAR DE CONTABILIDADE;SOLTEIRO(A)
F;48;5378,84;252305;SECRETARIA(O) EXECUTIVA(O);SOLTEIRO(A)
M;52;6189,46;725105;MONTADOR DE MÁQUINAS, MOTORES E AC;CASADO(A)
M;28;3008,91;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;28;3857,49;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;21;3185,56;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
M;20;1914,00;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
M;31;1826,92;411005;AUXILIAR DE ESCRITORIO, EM GER;CASADO(A)
M;40;3400,21;354205;COMPRADOR;SOLTEIRO(A)
F;38;4590,41;253115;AGENTE PUBLICITARIO;SOLTEIRO(A)
M;23;2857,31;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;32;2971,28;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
M;41;3703,70;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;28;3486,85;414105;ALMOXARIFE;SOLTEIRO(A)
M;22;1813,61;414105;ALMOXARIFE;SOLTEIRO(A)
M;57;3205,70;300305;TÉCNICO EM ELETROMECÂNICA;SEPARADO(A) JUDICIALMENTE
M;42;1731,51;313105;ELETROTECNICO;SOLTEIRO(A)
M;32;3878,31;318705;DESENHISTA PROJETISTA DE ELETR;SOLTEIRO(A)
M;22;1847,99;913120;MECÂNICO DE MANUTENÇÃO DE MÁQUIN;SOLTEIRO(A)
M;28;2150,00;318705;DESENHISTA PROJETISTA DE ELETR;SOLTEIRO(A)
M;30;1914,00;414105;ALMOXARIFE;SOLTEIRO(A)
M;27;2447,86;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
M;44;4424,95;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
F;19;720,42;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;43;9841,19;410205;SUPERVISOR DE ALMOXARIFADO;CASADO(A)
M;28;1960,00;621005;TRABALHADOR AGROPECUARIO EM GE;CASADO(A)
F;31;3744,64;214405;ENGENHEIRO MECANICO;SOLTEIRO(A)
M;41;3128,76;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;34;3369,99;313105;ELETROTECNICO;SOLTEIRO(A)
M;48;3252,45;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;27;1966,31;414105;ALMOXARIFE;CASADO(A)
M;16;851,97;414140;AUXILIAR DE LOGISTICA;SOLTEIRO(A)
M;24;2660,61;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;19;1746,68;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;40;5161,28;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;31;3245,21;913120;MECÂNICO DE MANUTENÇÃO DE MÁQUIN;SOLTEIRO(A)
M;42;3051,67;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;43;12109,50;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;CASADO(A)
M;21;1611,77;414105;ALMOXARIFE;SOLTEIRO(A)
M;22;1886,12;413110;AUXILIAR DE CONTABILIDADE;CASADO(A)
M;17;787,39;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;39;8044,10;142125;ANALISTA DE COMPLIANCE;CASADO(A)
M;34;1800,81;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;35;2346,21;414120;CONFERENTE MERC (EXCETO CARGA E DESC;CASADO(A)
F;24;2073,38;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;40;5948,16;354205;COMPRADOR;CASADO(A)
M;27;2232,06;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;34;3627,00;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
M;50;5958,45;910210;SUPERVISOR DA MANUT E REPAR DE;SOLTEIRO(A)
M;18;809,09;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;40;2845,11;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;35;7509,26;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;26;3875,12;913120;MECÂNICO DE MANUTENÇÃO DE MÁQUIN;SOLTEIRO(A)
M;26;1677,07;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;37;3703,68;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;43;12900,00;142410;GERENTE DE SUPRIMENTOS;CASADO(A)
M;26;1573,96;414105;ALMOXARIFE;SOLTEIRO(A)
M;36;3128,75;414120;CONFERENTE MERC (EXCETO CARGA E DESC;CASADO(A)
M;37;5717,11;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;36;2186,00;313105;ELETROTECNICO;SEPARADO(A) JUDICIALMENTE
M;22;2857,31;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;23;2660,61;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;20;1762,40;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;19;725,39;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;32;1240,92;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;39;2005,12;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;34;2715,98;313105;ELETROTECNICO;CASADO(A)
M;47;2222,30;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;47;1228,49;313105;ELETROTECNICO;SOLTEIRO(A)
M;55;2904,94;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;44;1158,96;313105;ELETROTECNICO;CASADO(A)
M;58;2017,11;252105;ADMINISTRADOR;CASADO(A)
M;48;1158,96;313105;ELETROTECNICO;SOLTEIRO(A)
M;34;860,00;313105;ELETROTECNICO;SOLTEIRO(A)
M;44;981,81;782510;MOTORISTA DE CAMINHAO;CASADO(A)
M;34;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;49;1461,68;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;48;1110,93;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
F;38;1480,98;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;51;1630,30;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;CASADO(A)
M;40;4290,70;313105;ELETROTECNICO;SOLTEIRO(A)
M;35;5362,07;212420;ANALISTA DE SUPORTE COMPUTACIO;SOLTEIRO(A)
M;40;2743,47;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;59;4260,62;410225;SUPERVISOR DE CREDITO E COBRAN;CASADO(A)
M;61;1708,48;520110;SUPERVISOR DE VENDAS COMERCIAL;CASADO(A)
F;46;1908,86;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;48;4659,21;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;54;1436,06;313105;ELETROTECNICO;CASADO(A)
M;57;9419,76;142305;GERENTE COMERCIAL;CASADO(A)
M;40;3584,31;351605;TECNICO EM SEGURANCA DO TRABAL;CASADO(A)
F;34;920,00;422105;RECEPCIONISTA, EM GERAL;SOLTEIRO(A)
M;56;1602,92;782515;MOTORISTA OPER DE GUINCHO;CASADO(A)
M;41;1924,38;252210;CONTADOR;SOLTEIRO(A)
M;53;1696,87;782305;MOTORISTA DE CARRO DE PASSEIO;CASADO(A)
M;64;1924,68;520110;SUPERVISOR DE VENDAS COMERCIAL;SOLTEIRO(A)
M;45;1929,97;342115;CONTROLADOR DE SERV DE MAQ E V;CASADO(A)
F;60;1869,10;514310;AUXILIAR DE MANUTENCAO PREDIAL;CASADO(A)
F;43;4360,48;212405;ANALISTA DE SISTEMA;CASADO(A)
M;53;10324,79;122405;DIRETOR DE OPERACOES COMERCIAI;CASADO(A)
M;63;800,00;621005;TRABALHADOR AGROPECUARIO EM GE;CASADO(A)
M;32;871,37;514310;AUXILIAR DE MANUTENCAO PREDIAL;SOLTEIRO(A)
F;29;424,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;45;1649,90;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;37;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;47;2166,89;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;38;1391,97;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;33;1621,20;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;49;7174,77;142305;GERENTE COMERCIAL;CASADO(A)
M;74;1721,26;411010;ASSISTENTE ADMINISTRATIVO;DESQUITADO(A)
M;68;901,00;623110;TRABALHADOR DA PECUARIA (BOVIN;CASADO(A)
M;44;2630,00;623110;TRABALHADOR DA PECUARIA (BOVIN;OUTROS
M;39;1016,55;414105;ALMOXARIFE;SOLTEIRO(A)
F;52;6612,95;142115;GERENTE FINANCEIRO;CASADO(A)
M;55;2858,50;410105;SUPERVISOR ADMINISTRATIVO;OUTROS
M;47;1596,56;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;27;370,12;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;45;1603,42;991305;FUNILEIRO DE VEICULOS (REPARAC;SOLTEIRO(A)
M;55;2258,83;252210;CONTADOR;CASADO(A)
M;78;4651,17;142305;GERENTE COMERCIAL;CASADO(A)
M;34;1435,11;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;30;1204,48;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;39;2571,33;342115;CONTROLADOR DE SERV DE MAQ E V;SOLTEIRO(A)
M;32;750,00;0;SEM CBO;SOLTEIRO(A)
M;58;900,00;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
M;34;1034,85;313105;ELETROTECNICO;SOLTEIRO(A)
M;33;1971,49;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;37;4777,70;142330;ANALISTA DE NEGOCIOS;SOLTEIRO(A)
F;53;2830,28;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;38;2422,40;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;53;1395,00;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;43;2062,93;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;37;3148,54;391210;TECNICO DE GARANTIA DA QUALIDA;CASADO(A)
M;47;1120,00;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
M;73;7706,77;142320;GERENTE DE VENDAS;OUTROS
M;52;11721,04;142605;GERENTE DE PESQUISA E DESENVOL;CASADO(A)
M;27;448,46;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;36;1418,29;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;49;1777,34;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;45;1466,61;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;36;1729,83;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;28;440,19;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;34;901,00;623110;TRABALHADOR DA PECUARIA (BOVIN;SOLTEIRO(A)
M;48;950,00;715145;OPERADOR DE TRATOR DE LAMINA;OUTROS
M;44;1894,36;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;29;1398,53;414105;ALMOXARIFE;SOLTEIRO(A)
M;39;1360,67;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;41;1531,39;313105;ELETROTECNICO;SOLTEIRO(A)
M;35;1360,49;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;49;5141,18;521105;VENDEDOR EM COMERCIO ATACADIST;SEPARADO(A) JUDICIALMENTE
F;29;2603,83;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
F;38;1576,05;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;34;4262,11;241010;ADVOGADO DE EMPRESA;CASADO(A)
M;50;5378,85;910210;SUPERVISOR DA MANUT E REPAR DE;SOLTEIRO(A)
F;27;1542,23;422105;RECEPCIONISTA, EM GERAL;SOLTEIRO(A)
F;44;6495,36;252210;CONTADOR;CASADO(A)
M;69;2471,85;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;38;5381,54;913120;MECÂNICO DE MANUTENÇÃO DE MÁQUIN;SEPARADO(A) JUDICIALMENTE
F;31;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;36;7422,79;142330;ANALISTA DE NEGOCIOS;CASADO(A)
M;39;2987,92;252725;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A)
F;43;1430,71;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;39;3314,50;252725;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A)
M;50;2107,47;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;46;7069,21;410240;SUPERVISOR DE LOGÍSTICA;SOLTEIRO(A)
M;25;498,04;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;37;3227,47;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;46;3217,14;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;CASADO(A)
M;44;5913,42;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;33;2364,27;411010;ASSISTENTE ADMINISTRATIVO;OUTROS
M;40;2844,52;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;35;2422,39;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;31;2306,12;413105;ANALISTA DE FOLHA DE PAGAMENTO;SEPARADO(A) JUDICIALMENTE
F;44;2715,96;411010;ASSISTENTE ADMINISTRATIVO;SEPARADO(A) JUDICIALMENTE
M;29;1164,59;992120;LAVADOR DE PECAS;SOLTEIRO(A)
M;33;1365,94;414105;ALMOXARIFE;SOLTEIRO(A)
M;48;3927,97;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;31;6521,86;142330;ANALISTA DE NEGOCIOS;CASADO(A)
M;29;1760,94;212405;ANALISTA DE SISTEMA;CASADO(A)
M;39;1621,00;121010;DIRETOR GERAL DE EMPRESA E ORG;SOLTEIRO(A)
M;32;1685,87;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;37;3406,10;313105;ELETROTECNICO;CASADO(A)
M;41;2214,24;782220;OPERADOR DE EMPILHADEIRA;SOLTEIRO(A)
F;27;1090,75;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;45;3691,27;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;48;4869,03;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
F;23;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;40;1954,54;414105;ALMOXARIFE;SOLTEIRO(A)
F;40;2099,47;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
F;35;3857,48;252210;CONTADOR;CASADO(A)
M;41;1685,21;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;50;2660,94;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;38;4914,34;212405;ANALISTA DE SISTEMA;CASADO(A)
M;43;1799,24;521105;VENDEDOR EM COMERCIO ATACADIST;SEPARADO(A) JUDICIALMENTE
M;49;5888,06;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;SOLTEIRO(A)
M;32;3678,59;913120;MECÂNICO DE MANUTENÇÃO DE MÁQUIN;SOLTEIRO(A)
M;26;1992,06;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;36;1892,84;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;36;1983,64;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;46;1955,82;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;43;3157,20;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;48;2139,94;514120;ZELADOR DE EDIFÍCIO;OUTROS
M;40;2422,39;521105;VENDEDOR EM COMERCIO ATACADIST;OUTROS
F;35;1324,81;411005;AUXILIAR DE ESCRITORIO, EM GER;CASADO(A)
M;22;658,72;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;21;611,54;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;42;4216,78;354205;COMPRADOR;CASADO(A)
M;24;900,00;0;SEM CBO;SOLTEIRO(A)
M;41;1542,24;414105;ALMOXARIFE;CASADO(A)
F;24;553,94;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;66;2291,06;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;45;3171,46;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;32;2347,59;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;28;2377,93;414105;ALMOXARIFE;CASADO(A)
M;34;1717,71;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;37;4082,72;521105;VENDEDOR EM COMERCIO ATACADIST;OUTROS
M;33;3119,56;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;43;1260,00;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
M;27;2037,93;414105;ALMOXARIFE;SOLTEIRO(A)
M;39;2917,62;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;31;1907,12;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;38;8095,13;214320;ENGENHEIRO ELETRICISTA DE PROJ;CASADO(A)
M;51;1860,82;414105;ALMOXARIFE;CASADO(A)
M;44;7854,96;252205;AUDITOR (CONTADORES E AFINS);CASADO(A)
F;30;2624,68;411030;AUXILIAR DE SETOR DE PESSOAL;SOLTEIRO(A)
M;47;5147,06;391145;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A)
M;33;9867,69;410105;SUPERVISOR ADMINISTRATIVO;CASADO(A)
M;41;3484,85;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;44;2559,80;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;21;692,32;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;45;3500,00;141115;GERENTE DE PROD E OP AGROPECUA;SOLTEIRO(A)
M;32;6883,87;391145;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A)
