SEXO;IDADE;RENDA;PROFISSAO;ESTADO_CIVIL;;
M;35;2337;ASSISTENTE ADMINISTRATIVO;SEPARADO(A) JUDICIALMENTE;;
F;45;1898;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;34;1664;ASSISTENTE ADMINISTRATIVO;OUTROS;;
F;35;2631;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;43;2619;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;24;2000;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;33;2066;ASSISTENTE ADMINISTRATIVO;SEPARADO(A) JUDICIALMENTE;;
M;28;2511;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;31;4590;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;30;2252;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;37;3795;ASSISTENTE ADMINISTRATIVO;OUTROS;;
F;40;3279;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;42;4317;ASSISTENTE ADMINISTRATIVO;OUTROS;;
F;44;2599;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;22;2025;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;35;2217;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;21;2463;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;31;4053;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;26;2720;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;40;1693;ASSISTENTE ADMINISTRATIVO;OUTROS;;
M;25;2660;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;24;2073;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;20;1762;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;44;7513;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;49;1505;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;46;2290;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;39;1291;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;53;2860;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;45;1649;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;46;5625;ASSISTENTE ADMINISTRATIVO;SEPARADO(A) JUDICIALMENTE;;
F;32;2040;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;34;1435;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;34;2120;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;37;2128;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;50;1565;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;29;1562;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;35;1630;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;45;1736;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;48;2449;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;55;13727;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;38;1391;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;33;2926;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;41;2857;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;53;2355;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;36;3631;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;34;1737;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;38;1576;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;32;1293;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;61;2280;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;37;3227;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;45;1666;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;33;2364;ASSISTENTE ADMINISTRATIVO;OUTROS;;
F;34;3107;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;40;1542;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;41;1305;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;28;2795;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;40;2099;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;27;1542;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;28;1593;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;35;3060;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;35;2294;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;45;2692;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;36;2003;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;36;1729;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;42;2061;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;29;1491;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;42;2663;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;29;1542;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;37;1621;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;40;3559;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;27;2056;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;35;1787;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;31;3326;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;44;2602;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;42;2025;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;24;1826;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;35;2521;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;38;2795;ASSISTENTE ADMINISTRATIVO;OUTROS;;
M;22;2857;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;42;2796;ASSISTENTE DE VENDAS;SOLTEIRO(A);;
M;48;5505;ASSISTENTE DE VENDAS;CASADO(A);;
M;40;6992;ASSISTENTE DE VENDAS;SOLTEIRO(A);;
F;38;4605;ASSISTENTE DE VENDAS;CASADO(A);;
M;53;5181;ASSISTENTE DE VENDAS;OUTROS;;
M;53;4819;ASSISTENTE DE VENDAS;OUTROS;;
M;44;7854;AUDITOR (CONTADORES E AFINS);CASADO(A);;
F;33;2025;AUXILIAR DE CONTABILIDADE;SOLTEIRO(A);;
M;21;2025;AUXILIAR DE CONTABILIDADE;SOLTEIRO(A);;
M;22;1886;AUXILIAR DE CONTABILIDADE;CASADO(A);;
M;18;832;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;18;704;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;676;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;34;900;EM GER;SOLTEIRO(A);;
M;16;809;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;17;787;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;17;787;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;19;1650;EM GER;SOLTEIRO(A);;
F;36;900;EM GER;SOLTEIRO(A);;
M;36;900;EM GER;SOLTEIRO(A);;
M;37;900;EM GER;SOLTEIRO(A);;
M;47;2000;EM GER;SOLTEIRO(A);;
F;27;400;EM GER;SOLTEIRO(A);;
F;32;802;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;37;1300;EM GER;SOLTEIRO(A);;
F;29;453;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;35;1624;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;33;1200;EM GER;SOLTEIRO(A);;
F;29;413;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;33;802;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;41;900;EM GER;SOLTEIRO(A);;
M;27;448;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;30;900;EM GER;SOLTEIRO(A);;
M;37;1268;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;35;900;EM GER;CASADO(A);;
M;25;498;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;29;900;EM GER;SOLTEIRO(A);;
F;23;542;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;22;530;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;25;498;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;24;542;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;25;638;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;21;604;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;24;634;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;30;1204;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;28;900;EM GER;SOLTEIRO(A);;
M;33;900;EM GER;SOLTEIRO(A);;
M;39;900;EM GER;SOLTEIRO(A);;
F;26;440;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;33;1173;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;35;1324;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
M;25;900;EM GER;SOLTEIRO(A);;
M;23;1723;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;23;1352;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;21;704;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;22;727;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;26;1826;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;704;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;732;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;22;663;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;19;720;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;19;774;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;1863;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;1717;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;16;800;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;34;871;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;37;900;EM GER;CASADO(A);;
F;44;802;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
M;33;802;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;25;453;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;28;440;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;34;1293;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;33;900;EM GER;SOLTEIRO(A);;
M;27;1030;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;803;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;19;748;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;704;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;38;1640;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
F;30;1650;EM GER;SOLTEIRO(A);;
F;23;1771;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;18;787;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;35;900;EM GER;SOLTEIRO(A);;
M;66;2000;EM GER;SOLTEIRO(A);;
F;52;1174;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);CASADO(A);FALSO
M;26;448;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;28;413;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;52;1226;AUXILIAR DE ESCRITORIO;SEPARADO(A) JUDICIALMENTE;OUTROS;FALSO
M;27;900;EM GER;SOLTEIRO(A);;
F;37;1124;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
M;40;1276;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
F;23;658;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;22;658;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;23;629;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;21;630;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;24;1300;EM GER;SOLTEIRO(A);;
M;21;700;EM GER;SEPARADO(A) JUDICIALMENTE;;
F;34;802;EM GER;SOLTEIRO(A);;
M;31;900;EM GER;CASADO(A);;
M;34;1265;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
F;31;900;EM GER;SOLTEIRO(A);;
F;28;900;EM GER;CASADO(A);;
F;24;571;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;27;1300;EM GER;SOLTEIRO(A);;
M;24;900;EM GER;SOLTEIRO(A);;
F;24;553;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;29;1554;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;21;634;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;20;692;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;685;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;23;1300;EM GER;SOLTEIRO(A);;
F;18;851;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;1915;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;17;761;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;754;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;21;604;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;21;656;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;22;704;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;18;751;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;27;1826;AUXILIAR DE ESCRITORIO;SEPARADO(A) JUDICIALMENTE;SEPARADO(A) JUDICIALMENTE;VERDADEIRO
M;15;851;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;18;809;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;16;800;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;34;900;EM GER;SOLTEIRO(A);;
F;32;900;EM GER;SOLTEIRO(A);;
M;34;1200;EM GER;SOLTEIRO(A);;
M;39;1010;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
F;33;900;EM GER;SOLTEIRO(A);;
F;36;802;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;32;802;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;36;900;EM GER;CASADO(A);;
M;27;440;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;31;500;EM GER;SOLTEIRO(A);;
M;19;725;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;57;910;AUXILIAR DE ESCRITORIO;SEPARADO(A) JUDICIALMENTE;SEPARADO(A) JUDICIALMENTE;VERDADEIRO
M;31;724;EM GER;CASADO(A);;
M;27;370;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;35;865;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
F;25;448;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;25;453;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;29;1012;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
F;38;900;EM GER;SOLTEIRO(A);;
F;31;1352;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;27;1090;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;23;1223;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;33;1463;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;19;727;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;33;1863;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;770;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;29;900;EM GER;SOLTEIRO(A);;
M;23;529;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;28;900;EM GER;SOLTEIRO(A);;
F;23;900;EM GER;SOLTEIRO(A);;
F;21;611;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;25;900;EM GER;SOLTEIRO(A);;
M;21;658;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;21;900;EM GER;SOLTEIRO(A);;
F;22;634;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;21;692;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;22;751;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;692;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;21;1746;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;26;1813;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
M;19;704;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;18;805;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;26;900;EM GER;SOLTEIRO(A);;
M;24;1632;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;21;704;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;21;751;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;19;851;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;22;1518;EM GER;SOLTEIRO(A);;
M;21;754;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;18;1236;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;1813;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;17;851;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;24;1886;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;27;1790;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;31;1826;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
M;20;1650;EM GER;CASADO(A);;
M;18;754;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;809;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;754;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;1813;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;29;424;EM GER;SOLTEIRO(A);;
F;44;1010;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
M;36;2000;EM GER;SOLTEIRO(A);;
M;27;413;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;39;1163;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;35;802;EM GER;SOLTEIRO(A);;
M;27;519;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;26;448;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;26;476;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;25;519;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;30;900;EM GER;SOLTEIRO(A);;
F;24;498;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;33;1303;AUXILIAR DE ESCRITORIO;OUTROS;OUTROS;VERDADEIRO
F;38;1554;AUXILIAR DE ESCRITORIO;CASADO(A);CASADO(A);VERDADEIRO
F;35;900;EM GER;SOLTEIRO(A);;
F;21;629;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;27;900;EM GER;SOLTEIRO(A);;
F;23;604;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;22;614;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;21;677;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;22;553;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;21;658;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;22;569;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;23;553;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;22;519;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;35;1389;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;24;1800;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;24;900;EM GER;SOLTEIRO(A);;
F;23;1674;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;1757;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;16;851;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;21;1611;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;18;774;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;17;769;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;17;832;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;774;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;18;748;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;23;1886;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;32;900;EM GER;SOLTEIRO(A);;
F;27;1591;AUXILIAR DE ESCRITORIO;SEPARADO(A) JUDICIALMENTE;SEPARADO(A) JUDICIALMENTE;VERDADEIRO
F;20;714;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;683;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;18;1621;EM GER;SOLTEIRO(A);;
F;18;800;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;18;1746;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;20;803;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;19;1746;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
F;17;777;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;18;720;AUXILIAR DE ESCRITORIO;SOLTEIRO(A);SOLTEIRO(A);VERDADEIRO
M;28;1971;AUXILIAR DE LINHA DE PRODUCAO;CASADO(A);;
M;22;1960;AUXILIAR DE LINHA DE PRODUCAO;CASADO(A);;
M;24;1960;AUXILIAR DE LINHA DE PRODUCAO;CASADO(A);;
M;31;1863;AUXILIAR DE LINHA DE PRODUCAO;SOLTEIRO(A);;
M;22;2333;AUXILIAR DE LINHA DE PRODUCAO;SOLTEIRO(A);;
